"No","Pemohon/ Penanggung Jawab Izin","Perusahaan/Instansi","Alamat","Sumber Air","long0","long1","long2","lat0","lat1","lat2","Desa","Kecamatan","Kab/Kota","Jenis Usaha","Debit Izin (liter/detik)","Tanggal Surat Keputusan","Nomor Surat Keputusan","Masa Berlaku Izin","Status","Perpanjangan","Keterangan"
"21","Drs. Cece Hidayat","Perumda Air Minum Tirta Galuh","Jalan Mister Iwa Kusuma Sumantri, Kelurahan Kertasari, Kecamatan Ciamis, Kabupaten Ciamis, Jawa Barat","Sungai Cileueur","7","19","18,42","108","21","10,27","Maleber","Ciamis","Ciamis","Pipa HDD","","19-Dec-22","1790/KPTS/M/2022 ","Sepanjang umur layan konstruksi","Berlaku","",""
"22","Ir. Dody Jatmiko","PT Indo Java Rubber Planting Company","Perkebunan Ciseru/Cipari, Desa Pegadingan, Kecamatan Ciapri, Kabupaten Cilacap, Jawa Tengah","Sungai Air Terjun","7","23","41,27","108","45","47,72","Pegadingan","Cipari","Kab. Cilacap","Industri","1,19","31-Oct-22","1422/KPTS/M/2022 ","31-Oct-27","Berlaku","",""
"23","DHANI GUMELAR, ST.,MT","DINAS PERHUBUNGAN PROVINSI JAWA BARAT","Jalan Sukabumi Nomor 1, Kacapiring, Batununggal, Kota Bandung","Sungai Citanduy","7","34","56,8","108","45","3,2","Sukanegara","Padaherang","Kab. Pangandaran","Dermaga","","29-Jul-22","843/KPTS/M/2022","Sepanjang umur layan konstruksi","Berlaku","",""
"24","Dian Adi Setyoko","PT. Pertamina Patra Niaga","Jalan Kramat Raya Nomor 59, Jakarta Barat","SP Cihaur BCH 55-56","7","36","22,55","108","55","29,87","Bojong","Kawunganten","Kab. Cilacap","Penanaman pipa","","06-Dec-22","1703/KPTS/M/2022","Sepanjang umur layan konstruksi","Berlaku","",""
"24","Dian Adi Setyoko","PT. Pertamina Patra Niaga","Jalan Kramat Raya Nomor 59, Jakarta Barat","SP Cihaur BCH 55-56","7","36","22,55","108","55","29,87","Bojong","Kawunganten","Kab. Cilacap","Penanaman pipa","","06-Dec-22","1784/KPTS/M/2022 ","Sepanjang umur layan konstruksi","Berlaku","",""
"25","Bambang Yulianto, ST., M.Si","PERUMDAM TIRTA WIJAYA KABUPATEN CILACAP","Jalan MT Haryono Nomor 16, Cilacap","Intake Manganti 1 IPA Manganti","7","26","43,86","108","43","13,94","Bojongsari","Kedungreja","Cilacap","Air Minum","150","27-May-22","509/KPTS/M/2022","27-May-27","Berlaku","",""
"26","Drs. Cece Hidayat","PDAM Tirta Galuh Ciamis","Jalan Mister Iwa Kusuma Sumantri Nomor 16, Kelurahan Kertasari, Kecamatan Ciamis, Kabupaten Ciamis, Jawa Barat","Sungai Citanduy","7","17","59,34","108","13","38,88","Gunung Cupu","Sindangkasih","Ciamis","Air Minum","150","14-Jun-22","582/KPTS/M/2022","14-Jun-27","Berlaku","",""
"27","Dadih Abdulhadi,SH.,M.Sc","PERUMDA Air Minum Tirta Sukapura","Jalan AH Nasution Kilometer 8, Cibanjaran, Tasikmalaya","Mata Air Cipondok","7","7","54,31","108","8","2,84","Mekarsari","Kadipaten","Tasikmalaya","Air Minum","40","17-Jun-22","592/KPTS/M/2022","19-Jan-23","Tidak Berlaku","Sudah","Perubahan SK Nomor 32/KPTS/2018"
"28","Dadih Abdulhadi,SH.,M.Sc","PERUMDA Air Minum Tirta Sukapura","Jalan AH Nasution Kilometer 8, Cibanjaran, Tasikmalaya","Mata Air Cibunigeulis","7","10","47,1","108","9","37,5","Gunungsari","Sukaratu","Tasikmalaya","Air Minum","18","17-Jun-22","594/KPTS/M/2022","12-Aug-24","Tidak Berlaku","Sudah","Perubahan SK Nomor 743/KPTS/2019"
"29","Dadih Abdullah,SH.,M.Sc","PERUMDA Air Minum Tirta Sukapura Kabupaten Tasikmalaya","Jalan AH Nasution Kilometer 8, Cibanjaran, Tasikmalaya","Mata Air Cisaladah","7","12","7,8","108","16","58,1","Kiarajangkung","Rajapolah","Tasikmalaya","Air Minum","5","17-Jun-22","591/KPTS/M/2022","12-Aug-24","Tidak Berlaku","Sudah",""
"30","Dadih Abdullah,SH.,M.Sc","PERUMDA Air Minum Tirta Sukapura Kabupaten Tasikmalaya","Jalan AH Nasution Kilometer 8, Cibanjaran, Tasikmalaya","Mata Air Cipanyusupan","","","","","","","","","","","","09-Nov-22","1518/KPTS/M/2022 "," ","Tidak Berlaku","Dalam proses","Perubahan SK Nomor 746/KPTS/2019"
"31","E. FITRAH NURKAMILAH, ST.","PERUMDAM TIRTA ANOM KOTA BANJAR","Jalan Perintis Kemerdekaan Nomor 27, Kota Banjar","Sungai Citanduy","7","21","36,59","108","32","5,7","Purwaharja","Purwaharja","Banjar","Air Minum","80","05-Sep-22","1051/KPTS/M/2022 ","05-Sep-27","Berlaku","",""
"32","DIAN ADI SETYOKO","PT. PERTAMINA (PERSERO) CITANDUY","Jalan Kramat Raya Nomor 59, Jakarta","Sungai Citanduy","7","22","6,46","108","47","20,66","Tarisi","Wanareja","Cilacap","Pipa Minyak Produksi","","26-Aug-21","1110/KPTS/M/2021 ","Sepanjang umur layan konstruksi","Berlaku","",""
"33","Devi Alcitra Candra, ST., MT","Satker PJN Wilayah III Provinsi Jawa Tengah","Jalan Murbei Barat I, Sumurboto, Semarang, Jawa Tengah","Saluran Tersier Sta 1+242","7","32","10,03","108","49","31","Cisumur","Gandrungmangu","Cilacap","Konstruksi jembatan dan box culvert","","14-Aug-21","772/KPTS/M/2021","Sepanjang umur layan konstruksi","Berlaku","",""
"34","Dikky Achmad Sidik, ST., MT.","Dinas Sumber Daya Air Provinsi Jawa Barat","Jalan Braga Nomor 137, Bandung","Situ Wangi","7","9","47,33","108","22","10,78","Winduraja","Kawali","Ciamis","Revitalisasi dan penataan Situ Wangi","","01-Nov-21","1368/KPTS/M/2021 ","Sepanjang umur layan konstruksi","Berlaku","",""
"35","Agus Susyanto","PT. Pertamina (Persero) Marketing Operation region (MOR) IV","Jalan Pemuda Nomor 114, Semarang, Jawa Tengah","Sungai Jagadenda","7","34","57,9","108","53","39,5","Kawunganten","Kawunganten","Cilacap","Jembatan pipa","","09-Jun-21","743/KPTS/M/2021","Sepanjang umur layan konstruksi","Berlaku","",""
"36","DADIH ABDUL HADI,SH. MSc","PDAM TIRTA SUKAPURA KABUPATEN TASIKMALAYA","Jalan AH Nasution Kilometer 8, Cibanjaran, Tasikmalaya","Mata Air Leuwirepit","7","14","17,9","108","7","32,4","Sukamukti","Cisayong","Tasikmalaya","Air Minum","20","28-Apr-21","512/KPTS/M/2021","28-Apr-26","Berlaku","",""
"37","Lilik Unggul Raharjo","PT Solusi Bangun Indonesia Tbk","Jalan Ir. H. Juanda, Cilacap, Jawa Tengah","Mata Air Limus Buntu","7","44","22,8","108","58","54,49","Tambakreja","Cilacap Selatan","Cilacap","Pembersihan, penyiraman, dan domestik","4","10-May-21","564/KPTS/M/2021","10-May-26","Berlaku","",""
"38","Ir. Dudi Ahmad Holidi, M.Si","Dinas Perumahan Rakyat dan Kawasan Permukiman Kota Tasikmalaya","Jalan Noenoeng Tisnaputra Nomor 5, Kecamatan Tawang Kota, Tasikmalaya","Sungai Ciloseh","7","18","36,02","108","12","41,73","Cipedes","Indihiang","Tasikmalaya","Jembatan pedestrian","","30-May-21","383/KPTS/M/2021","Sepanjang umur layan konstruksi","Berlaku","",""
"39","MUHAMMAD FATHONI","PT. PERTAMINA (PERSERO)","Jalan Kramat Raya Nomor 59, Jakarta Pusat","Sungai Cidek","7","29","6,46","108","47","20,66","Sidareja","Sidareja","Cilacap","Konstruksi Pipa CB-III","","26-Jul-21","920/KPTS/M/2021","Sepanjang umur layan konstruksi","Berlaku","",""
"40","Ir. Dudi Ahmad Holidi, M.Si","Program Kota Tanpa Kumuh Kota Tasikmalaya","Jalan Noenoeng Tisnaputra Nomor 5, Kecamatan Tawang Kota, Tasikmalaya","Sungai Ciloseh","7","18","36,75","108","12","43,15","Cipedes","Cipedes","Tasikmalaya","Penataan Kawasan Kumuh","","22-Jun-20","1087/KPTS/M/2020","Sepanjang umur layan konstruksi","Berlaku","",""
"41","Ali Mundakir","PT. Pertamina Geothermal Energy","Jalan MH Thamrin Nomor 9, Gedung Cakrawala, Jakarta Pusat","Sungai Cibahayu","7","8","40,2","108","5","8,6","Dirgahayu","Kadipaten","Tasikmalaya","Domestik","15","14-Aug-20","1289/KPTS/M/2020","14-Aug-25","Berlaku","",""
"42","Ir. H. Edy Djatmiko, MM","Pemerintah Kota Banjar","Jalan Purnomosidi Nomor 1, Kota Banjar","Sungai Citanduy","7","22","12,93","108","32","105","Hegarsari","Pataruman","Banjar","Penataan Ruang Terbuka Hijau","","27-Mar-20","284/KPTS/M/2020","Sepanjang umur layan konstruksi","Berlaku","",""
"43","Nia Dewi Kania Indah","Sdri. Nia Dewi Kania Indah","Cigantang Girang RT 002 RW 007, Cigantang, Kecamatan Mangkubumi, Kota Tasikmalaya","Saluran Irigasi Cikunten II","7","21","21,29","108","11","1,84","Cigantang","Mangkubumi","Tasikmalaya","Konstruksi Jembatan","","31-Aug-20","1407/KPTS/M/2020","Sepanjang umur layan konstruksi","Berlaku","",""
"44","Ir. Wawan Darmawan, MM","PDAM Tirta Sukapura Kabupaten Tasikmalaya","Jalan AH. Nasution KM 8, Cibanjaran, Kabupaten Tasikmalaya, Jawa Barat","Mata Air Sanghiang","7","10","10,4","108","7","19,2","Citamba","Ciawi","Tasikmalaya","Air Minum","15","16-Sep-19","869/KPTS/M/2019","16-Sep-24","Tidak Berlaku","Sudah",""
"45","Ir. Wawan Darmawan, MM","PDAM Tirta Sukapura Kabupaten Tasikmalaya","Jalan AH. Nasution KM 8, Cibanjaran, Kabupaten Tasikmalaya, Jawa Barat","Mata Air Cibunigeulis","7","10","47,1","108","9","37,5","Gunungsari","Sukaratu","Tasikmalaya","Air Minum","18","12-Aug-19","743/KPTS/M/2019","12-Aug-24","Tidak Berlaku","Sudah",""
"46","Ir. Wawan Darmawan, MM","PDAM Tirta Sukapura Kabupaten Tasikmalaya","Jalan AH. Nasution KM 8, Cibanjaran, Kabupaten Tasikmalaya, Jawa Barat","Mata Air Cipanyusupan","7","4","1,8","108","8","42,2","Nangewer","Pagerageung","Tasikmalaya","Air Minum","10","12-Aug-19","746/KPTS/M/2019","12-Aug-24","Tidak Berlaku","Dalam proses",""
"47","Ir. Wawan Darmawan, MM","PDAM Tirta Sukapura Kabupaten Tasikmalaya","Jalan AH. Nasution KM 8, Cibanjaran, Kabupaten Tasikmalaya, Jawa Barat","Mata Air Cisaladah","7","12","7,8","108","16","58,1","Kiarajangkung","Rajapolah","Tasikmalaya","Air Minum","5","12-Aug-19","745/KPTS/M/2019","12-Aug-24","Tidak Berlaku","Sudah",""
"48","Iwan Ruswandi","Sdr. Iwan Ruswandi","Kp Sukagalih RT 038/RW 011, Desa Cineam, Kecamatan Cineam, Kabupaten Tasikmalaya","Saluran Irigasi Cigoang","7","24","21","108","20","25","Cineam","Cineam","Tasikmalaya","Produksi Aci","2,5 (3 jam/hari selama 15 hari/bulan)","14-Oct-20","1498/KPTS/M/2020","14-Oct-25","Berlaku","",""
"49","Saeful Hidayat, SIP. ST. MM","Pemerintah Daerah Kabupaten Cilacap","Jalan Kalimantan No. 34 Cilacap, Jawa Tengah","Saluran Pembuang Cihaur 596","7","31","57","108","50","52","Babakan","Kawungaten","Cilacap","Tanggul pengaman sungai/saluran","","25-Mar-19","309/KPTS/M/2019","25-Mar-24","Tidak Berlaku","Belum",""
"50","Edo Wijaya","PT. Bineatama Kayone Lestari","Jalan Raya Rajapolah KM 7 RT 02/RW 011, Kel. Sukamajukaler, Kec. Indihiang, Kota Tasikmalaya, Jawa Barat","Sungai Citanduy","7","16","25,33","108","11","42,11","Sukamaju Kaler","Indihiang","Tasikmalaya","Industri","2","30-Nov-18","971/KPTS/M/2018","30-Nov-23","Tidak Berlaku","Dalam proses",""
"51","Isnan Hidayatullah, SP","PT. Perkebunan Nusantara VIII Kebun Batulawang","Jalan Raya Cisaga Rancah KM 5, Ciamis","Sungai Cipelah","7","25","6,32","108","35","19,64","Batulawang","Pataruman","Banjar","Industri","4","29-Oct-18","856/KPTS/M/2018","29-Oct-23","Tidak Berlaku","Dalam proses",""
